Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
1	5	5984	0.11861982941627502	0.7476604278074866	4474.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49 AND AREA_CONSTRUCAO >= 40.01
2	5	5984	0.11861982941627502	0.7476604278074866	4474.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01 AND AREA_CONSTRUCAO <= 738.49
3	5	5970	0.1185072809457779	0.7480737018425461	4466.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49
4	5	5956	0.11846159398555756	0.7486568166554735	4459.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND Y <= 7797546.5 AND AREA_CONSTRUCAO <= 738.49
5	5	5956	0.11846159398555756	0.7486568166554735	4459.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49 AND Y <= 7797546.5
6	5	5956	0.11846159398555756	0.7486568166554735	4459.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND Y <= 7797546.5 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49
7	5	5995	0.11828798055648804	0.7462885738115096	4474.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND X >= 608818.1 AND AREA_CONSTRUCAO <= 738.49
8	5	5995	0.11828798055648804	0.7462885738115096	4474.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49 AND X >= 608818.1
9	5	5995	0.11828798055648804	0.7462885738115096	4474.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X >= 608818.1 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49
10	4	5996	0.1182578057050705	0.7461641094062709	4474.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49
11	5	5996	0.1182578057050705	0.7461641094062709	4474.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_TERRENO <= 15968.0 AND AREA_CONSTRUCAO <= 738.49
12	5	5996	0.1182578057050705	0.7461641094062709	4474.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_TERRENO <= 15968.0 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49
13	5	5954	0.11825448274612427	0.7482364796775277	4455.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND X <= 613151.3 AND AREA_CONSTRUCAO <= 697.9
14	5	5974	0.11825288832187653	0.747238031469702	4464.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49 AND X <= 613151.3
15	5	5990	0.11823824048042297	0.7464106844741235	4471.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49 AND AREA_CONSTRUCAO <= 723.57
16	5	5995	0.11822113394737244	0.7461217681401168	4473.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_TERRENO >= 361.5 AND AREA_CONSTRUCAO <= 738.49
17	5	5995	0.11822113394737244	0.7461217681401168	4473.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49 AND AREA_TERRENO >= 361.5
18	5	5995	0.11822113394737244	0.7461217681401168	4473.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_TERRENO >= 361.5 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49
19	5	5994	0.1181844174861908	0.7460794127460794	4472.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49 AND AREA_TERRENO <= 10252.55
20	5	5988	0.11816485226154327	0.7463259853039412	4469.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND Y >= 7793408.5 AND AREA_CONSTRUCAO <= 738.49
21	5	5988	0.11816485226154327	0.7463259853039412	4469.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49 AND Y >= 7793408.5
22	5	5976	0.11805883049964905	0.7466532797858099	4462.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND Y >= 7793417.5 AND X <= 613161.7 AND AREA_CONSTRUCAO <= 738.49
23	5	6053	0.11787550151348114	0.74244176441434	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND Y <= 7797546.5 AND AREA_CONSTRUCAO >= 40.01
24	5	6053	0.11787550151348114	0.74244176441434	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01 AND Y <= 7797546.5
25	5	6053	0.11787550151348114	0.74244176441434	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND Y <= 7797546.5 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01
26	5	6039	0.1177629679441452	0.7428382182480543	4486.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND Y <= 7797546.5 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7
27	5	6039	0.1177629679441452	0.7428382182480543	4486.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7 AND Y <= 7797546.5
28	5	6039	0.1177629679441452	0.7428382182480543	4486.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND Y <= 7797546.5 AND X <= 613161.7
29	5	6092	0.11770190298557281	0.740151017728168	4509.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND X >= 608818.1 AND AREA_CONSTRUCAO >= 40.01
30	5	6092	0.11770190298557281	0.740151017728168	4509.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_TERRENO <= 15968.0 AND AREA_CONSTRUCAO >= 40.01
31	5	6092	0.11770190298557281	0.740151017728168	4509.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01 AND X >= 608818.1
32	5	6092	0.11770190298557281	0.740151017728168	4509.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01 AND AREA_TERRENO <= 15968.0
33	5	6092	0.11770190298557281	0.740151017728168	4509.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X >= 608818.1 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01
34	5	6092	0.11770190298557281	0.740151017728168	4509.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_TERRENO <= 15968.0 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01
35	4	6093	0.11767172813415527	0.740029542097489	4509.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01
36	5	6071	0.11766679584980011	0.7410640751111843	4499.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND X <= 613151.3 AND AREA_CONSTRUCAO >= 40.01
37	5	6071	0.11766679584980011	0.7410640751111843	4499.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01 AND X <= 613151.3
38	5	6092	0.11763505637645721	0.7399868680236376	4508.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_TERRENO >= 361.5 AND AREA_CONSTRUCAO >= 40.01
39	5	6092	0.11763505637645721	0.7399868680236376	4508.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01 AND AREA_TERRENO >= 361.5
40	5	6092	0.11763505637645721	0.7399868680236376	4508.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01 AND AREA_CONSTRUCAO >= 40.06
41	5	6092	0.11763505637645721	0.7399868680236376	4508.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_TERRENO >= 361.5 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01
42	5	6084	0.1176089346408844	0.740302432610125	4504.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND Y >= 7793408.5 AND AREA_CONSTRUCAO >= 40.01
43	5	6084	0.1176089346408844	0.740302432610125	4504.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 40.01 AND Y >= 7793408.5
44	5	6078	0.11758933961391449	0.740539651201053	4501.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X >= 608818.1 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7
45	5	6078	0.11758933961391449	0.740539651201053	4501.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_TERRENO <= 15968.0 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7
46	5	6078	0.11758933961391449	0.740539651201053	4501.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7 AND X >= 608818.1
47	5	6078	0.11758933961391449	0.740539651201053	4501.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7 AND AREA_TERRENO <= 15968.0
48	5	6078	0.11758933961391449	0.740539651201053	4501.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND X >= 608818.1 AND X <= 613161.7
49	5	6078	0.11758933961391449	0.740539651201053	4501.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND AREA_TERRENO <= 15968.0 AND X <= 613161.7
50	4	6079	0.11755917966365814	0.7404178318802435	4501.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7
51	5	6077	0.11755263805389404	0.7404969557347375	4500.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_CONSTRUCAO >= 52.9 AND X <= 613161.7 AND AREA_CONSTRUCAO >= 54.35
52	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND X >= 608818.1 AND Y <= 7797546.5
53	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND Y <= 7797546.5 AND X >= 608818.1
54	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND Y <= 7797546.5 AND AREA_TERRENO <= 15968.0
55	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X <= 613161.7 AND AREA_TERRENO <= 15968.0 AND Y <= 7797546.5
56	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X >= 608818.1 AND X <= 613161.7 AND Y <= 7797546.5
57	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND X >= 608818.1 AND Y <= 7797546.5 AND X <= 613161.7
58	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND Y <= 7797546.5 AND X <= 613161.7 AND X >= 608818.1
59	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND Y <= 7797546.5 AND X <= 613161.7 AND AREA_TERRENO <= 15968.0
60	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND Y <= 7797546.5 AND X >= 608818.1 AND X <= 613161.7
61	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND Y <= 7797546.5 AND AREA_TERRENO <= 15968.0 AND X <= 613161.7
62	5	6064	0.11754365265369415	0.7410949868073878	4494.0	NaN	Y >= 7793407.0 AND AREA_TERRENO >= 361.46 AND AREA_TERRENO <= 15968.0 AND X <= 613161.7 AND Y <= 7797546.5
