Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
1	4	2206	0.3071826100349426	0.5253853127833182	1159.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND X in (608860.4, 614227.2] AND AREA_TERRENO in (440.0, 21167.36] AND Y in (-inf, 7796076.5]
2	4	2206	0.3071826100349426	0.5253853127833182	1159.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND AREA_TERRENO in (440.0, 21167.36] AND X in (608860.4, 614227.2] AND Y in (-inf, 7796076.5]
3	4	2206	0.3071826100349426	0.5253853127833182	1159.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND AREA_TERRENO in (440.0, 21167.36] AND Y in (-inf, 7796076.5] AND X in (608860.4, 614227.2]
4	3	2212	0.306694895029068	0.5239602169981917	1159.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND AREA_TERRENO in (440.0, 21167.36] AND Y in (-inf, 7796076.5]
5	4	2132	0.30629900097846985	0.5314258911819888	1133.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND X in (608860.4, 614227.2] AND Y in (-inf, 7795834.5] AND AREA_TERRENO in (440.0, 21167.36]
6	4	2132	0.30629900097846985	0.5314258911819888	1133.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND X in (608860.4, 614227.2] AND AREA_TERRENO in (440.0, 21167.36]
7	4	2132	0.30629900097846985	0.5314258911819888	1133.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND AREA_TERRENO in (440.0, 21167.36] AND X in (608860.4, 614227.2]
8	3	2137	0.30588552355766296	0.5301824988301357	1133.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND Y in (-inf, 7795834.5] AND AREA_TERRENO in (440.0, 21167.36]
9	3	2260	0.3046773076057434	0.515929203539823	1166.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND X in (608860.4, 614227.2] AND AREA_TERRENO in (440.0, 21167.36]
10	3	2260	0.3046773076057434	0.515929203539823	1166.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND AREA_TERRENO in (440.0, 21167.36] AND X in (608860.4, 614227.2]
11	2	2266	0.30420035123825073	0.5145631067961165	1166.0	NaN	AREA_CONSTRUCAO in (422.97, 3444.27] AND AREA_TERRENO in (440.0, 21167.36]
