Regional,Itemset,Utilidade,Suporte
Barreiro,BARRACAO_P2 CASA_P1 CASA_P3,2056244,431
Barreiro,BARRACAO_P2 CASA_P1 CASA_P2,2193074,438
Barreiro,BARRACAO_P2 CASA_P3,1925733,521
Barreiro,BARRACAO_P2 CASA_P3 CASA_P2,3820418,515
Barreiro,BARRACAO_P2 CASA_P2,2006769,532
Barreiro,LOJA_P1 CASA_P3,1787271,480
Barreiro,LOJA_P1 CASA_P3 CASA_P2,3566585,477
Barreiro,LOJA_P1 CASA_P2,1886265,497
Barreiro,LOJA_P3 CASA_P3,2121446,481
Barreiro,LOJA_P3 CASA_P3 CASA_P2,3902519,473
Barreiro,LOJA_P3 CASA_P2,2064161,494
Barreiro,LOJA_P2 CASA_P1 CASA_P3,2176829,429
Barreiro,LOJA_P2 CASA_P1 CASA_P2,2234830,435
Barreiro,LOJA_P2 CASA_P3,2107713,540
Barreiro,LOJA_P2 CASA_P3 CASA_P2,4053194,534
Barreiro,LOJA_P2 CASA_P2,2098971,553
Barreiro,CASA_P1 CASA_P3,2937989,827
Barreiro,CASA_P1 CASA_P3 CASA_P2,5434070,810
Barreiro,CASA_P1 CASA_P2,3088545,862
Barreiro,CASA_P3,2985327,1174
Barreiro,CASA_P3 CASA_P2,5824804,1115
Barreiro,CASA_P2,2951415,1255
Centro-Sul,CASA_P4 CASA_P3,1492455,400
Centro-Sul,LOJA_P3_TRUE,1634776,394
Centro-Sul,LOJA_P4 LOJA_P3,1083081,416
Centro-Sul,CASA_P3 APARTAMENTO_P3,5073641,470
Centro-Sul,APARTAMENTO_P4,6992504,510
Centro-Sul,APARTAMENTO_P4 APARTAMENTO_P3,10415851,435
Centro-Sul,LOJA_P3 APARTAMENTO_P3,4913285,453
Centro-Sul,APARTAMENTO_P3,5914111,672
Leste,BARRACAO_P1 CASA_P2,1136100,277
Leste,BARRACAO_P2 CASA_P1 CASA_P3,1610759,299
Leste,BARRACAO_P2 CASA_P1 CASA_P3 CASA_P2,2893168,298
Leste,BARRACAO_P2 CASA_P1 CASA_P2,1620564,319
Leste,BARRACAO_P2 CASA_P3,1624530,387
Leste,BARRACAO_P2 CASA_P3 CASA_P2,3086040,384
Leste,BARRACAO_P2 CASA_P2,1585422,409
Leste,CASA_P4 CASA_P3,1848439,335
Leste,CASA_P4 CASA_P3 CASA_P2,3082335,330
Leste,CASA_P4 CASA_P2,1465029,333
Leste,LOJA_P1 CASA_P1 CASA_P3,1516613,279
Leste,LOJA_P1 CASA_P1 CASA_P3 CASA_P2,2741367,279
Leste,LOJA_P1 CASA_P1 CASA_P2,1488629,289
Leste,LOJA_P1 CASA_P3,1544450,362
Leste,LOJA_P1 CASA_P3 CASA_P2,2956474,360
Leste,LOJA_P1 CASA_P2,1490366,377
Leste,LOJA_P2 CASA_P3,1558873,375
Leste,LOJA_P2 CASA_P3 CASA_P2,2948020,368
Leste,LOJA_P2 CASA_P2,1513161,385
Leste,LOJA_P3 CASA_P3,1695430,378
Leste,LOJA_P3 CASA_P3 CASA_P2,3035370,367
Leste,LOJA_P3 CASA_P2,1552903,378
Leste,APARTAMENTO_P3,2230973,377
Leste,APARTAMENTO_P3 CASA_P3,3669896,367
Leste,APARTAMENTO_P3 CASA_P3 CASA_P2,4788674,360
Leste,APARTAMENTO_P3 CASA_P2,3303930,365
Leste,CASA_P1 CASA_P3,2032102,470
Leste,CASA_P1 CASA_P3 CASA_P2,3681766,466
Leste,CASA_P1 CASA_P2,1973852,499
Leste,CASA_P3,2264046,753
Leste,CASA_P3 CASA_P2,4280029,720
Leste,CASA_P2,2077758,797
Nordeste,BARRACAO_P1 CASA_P2,1656454,509
Nordeste,BARRACAO_P1 CASA_P2 CASA_P3,2915298,483
Nordeste,BARRACAO_P1 CASA_P3,1363410,488
Nordeste,BARRACAO_P2 CASA_P2,1671017,509
Nordeste,BARRACAO_P2 CASA_P2 CASA_P3,3165439,498
Nordeste,BARRACAO_P2 CASA_P3,1603342,506
Nordeste,LOJA_P1 CASA_P1 CASA_P2,2180912,486
Nordeste,LOJA_P1 CASA_P1 CASA_P2 CASA_P3,3637273,473
Nordeste,LOJA_P1 CASA_P1 CASA_P3,1974135,473
Nordeste,LOJA_P1 CASA_P2,1877359,572
Nordeste,LOJA_P1 CASA_P2 CASA_P3,3486172,552
Nordeste,LOJA_P1 CASA_P3,1725950,559
Nordeste,LOJA_P3 CASA_P2,1785921,526
Nordeste,LOJA_P3 CASA_P2 CASA_P3,3391290,509
